item,label,site,geo,inscription
Q70892944,CIIC 273 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),CALUNOVIC[A] MAQI MUCOI LIT[ENI].
Q70892950,CIIC 274 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),MAQI-INI[... MAQI QE]TTEAS.
Q70892951,CIIC 275 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI
Q70892952,CIIC 276 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),BIGU MAQI LAG[...
Q70892956,CIIC 277 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),BIR MAQI MUCOI ROTTAIS
Q70892957,CIIC 278 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),....]MAQI NE[TACUN]AS
Q70892959,CIIC 279 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),DENAVEC[A MU]COI MEDALO.
Q70892962,CIIC 280 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),BRO[INION]AS
Q70892964,CIIC 281 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),DEAGOS MAQI MUCO[I......]NAI
Q70892966,CIIC 282 (Ogham Stone Concept by RAS Macalister),Q85396851,POINT(-7.495 52.155278),AVI DAIMAGNI
Q70892968,CIIC 283 (Ogham Stone Concept by RAS Macalister),Q85396944,POINT(-7.483333 52.191389),GOSOCTAS MUCOI MACORBO
Q70892970,CIIC 284 (Ogham Stone Concept by RAS Macalister),Q85396944,POINT(-7.483333 52.191389),MELAGIA
Q70892972,CIIC 285 (Ogham Stone Concept by RAS Macalister),Q85396852,POINT(-7.544722 52.110278),BIVODON MUCOI ATAR
Q70892975,CIIC 286 (Ogham Stone Concept by RAS Macalister),Q85396854,POINT(-7.549722 52.090556),[CU]NAMAQI LUGUDECA MUC[OI] CUNEA
Q70892978,CIIC 287 (Ogham Stone Concept by RAS Macalister),Q85396854,POINT(-7.549722 52.090556),NISIGNI MAQI ER[......]I
Q70892979,CIIC 288 (Ogham Stone Concept by RAS Macalister),Q85396854,POINT(-7.549722 52.090556),DEBRANI MAQI ELTI AVI OGATOS
Q70892982,CIIC 289 (Ogham Stone Concept by RAS Macalister),Q85396854,POINT(-7.549722 52.090556),...]VAGNI MUCOI CUNIA
Q70892984,CIIC 290 (Ogham Stone Concept by RAS Macalister),Q85396854,POINT(-7.549722 52.090556),MAQI E[..
Q70892987,CIIC 291 (Ogham Stone Concept by RAS Macalister),Q85396911,POINT(-7.804444 52.1025),n/a
Q70892992,CIIC 292 (Ogham Stone Concept by RAS Macalister),Q85396914,POINT(-7.6 52.111389),....]ER[A]T[I] M[U]C[OI] NETA-S[EGAM]ONAS
