item,label,desc,geo,logainm,osm
Q85392806,Carncome (Ogham Site),"Ogham Site, Co. Antrim",Point(-6.183333 54.803056),61366,4149573
Q85392810,Drumconwell (Ogham Site),"Ogham Site, Co. Armagh",Point(-6.655278 54.307222),56262,5326637
Q85392813,Rantavan (Ogham Site),"Ogham Site, Co. Cavan",Point(-6.954444 53.805),3796,4630934
Q85392816,Station Island (Ogham Site),"Ogham Site, Co. Donegal",Point(-7.871111 54.608611),14203,4087469
Q85392823,Dungummin (Ogham Site),"Ogham Site, Co. Cavan",Point(-7.209444 53.794444),,4584217
Q85392826,Aghascrebagh (Ogham Site),"Ogham Site, Co. Tyrone",Point(-7.047778 54.699444),65249,4555833
Q85392831,Mullyknock or Topped Mountain (Ogham Site),"Ogham Site, Co. Fermanagh",Point(-7.5175 54.362222),121032,3572741
Q85392833,Dunalis Upper (Ogham Site),"Ogham Site, Co. Londonderry",Point(-6.744444 55.116667),57618,4617106
Q85393909,Tullycommon (Ogham Site),"Ogham Site, Co. Clare",Point(-9.063611 53.022222),5962,4670081
Q85393912,Shantraud (Ogham Site),"Ogham Site, Co. Clare",Point(-8.447778 52.803333),7735,5616517
Q85393914,Ballynabortagh (Ogham Site),"Ogham Site, Co. Cork",Point(-8.453333 52.010278),9511,6384608
Q85393915,Bishop's Island (Ogham Site),"Ogham Site, Co. Cork",Point(-8.360556 52.008611),10395,6368014
Q85393918,Dunbulloge (Ogham Site),"Ogham Site, Co. Cork",Point(-8.452778 51.980833),9514,6385377
Q85393922,Rathcobane (Ogham Site),"Ogham Site, Co. Cork",Point(-8.246111 52.005278),12537,6388535
Q85393926,Carhoovauler (Ogham Site),"Ogham Site, Co. Cork",Point(-8.956111 51.688333),9111,5995001
Q85393928,Keenrath (Ogham Site),"Ogham Site, Co. Cork",Point(-9.185833 51.759444),9881,5990901
Q85393931,Burgatia / Teampuleen Fachtna (Ogham Site),"Ogham Site, Co. Cork",Point(-9.0125 51.577778),9138,5908298
Q85393934,Rathcanning (Ogham Site),"Ogham Site, Co. Cork",Point(-8.075556 51.977222),12340,6364485
Q85393938,Deelish (Ogham Site),"Ogham Site, Co. Cork",Point(-8.887778 51.940833),11434,6175602
Q85393940,Knockrour (Ogham Site),"Ogham Site, Co. Cork",Point(-8.838889 51.9575),11552,6173253
Q85393943,Carrigagulla (Ogham Site),"Ogham Site, Co. Cork",Point(-8.909167 52.0075),11451,6133254
Q85393945,Cooldorragha (Ogham Site),"Ogham Site, Co. Cork",Point(-9.026389 51.508611),,6018126
Q85393948,Crinnaloo North (Ogham Site),"Ogham Site, Co. Cork",Point(-8.928056 52.066667),12623,5887360
Q85393952,Aghacarrible (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.176111 52.129444),22713,6197494
Q85393955,Aglish (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.138056 52.133056),22749,6206124
Q85393959,Reask (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.382222 52.166667),22747,6196248
Q85393961,Ballineesteenig (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.2075 52.140556),22707,6197800
Q85393964,Ballintaggart (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.031111 52.1725),22440,6185908
Q85393991,Burnfort (Ogham Site),"Ogham Site, Co. Cork",Point(-8.599444 52.068056),11662,5860030
Q85393995,Glenawillin (Ogham Site),"Ogham Site, Co. Cork",Point(-8.175556 51.969444),12562,6384971
Q85393998,Faunkill and the Woods / BallycrovaneFaunkill and the Woods (Ogham Site),"Ogham Site, Co. Cork",Point(-9.935278 51.712222),8780,4793209
Q85394002,Ahalisky (Ogham Site),"Ogham Site, Co. Cork",Point(-8.846944 51.678889),9071,5994609
Q85394004,Aultagh (Ogham Site),"Ogham Site, Co. Cork",Point(-9.088056 51.770833),,6156514
