item,itemLabel,itemDescription,no
Q106675442,COOLM/7 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLM/7
Q106675443,COOLN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLN/1
Q106675444,COOME/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOME/1
Q106675445,CORRO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CORRO/1
Q106675446,COTTS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COTTS/1
Q106675447,COUME/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COUME/1
Q106675451,CRAG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CRAG/1
Q106675452,CRCOM/1 (Ogham Stone Concept by CISP),"Ogham Stone, Northern Ireland",CRCOM/1
Q106675453,CRCOM/2 (Ogham Stone Concept by CISP),"Ogham Stone, Northern Ireland",CRCOM/2
Q106675454,CREHS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CREHS/1
Q106675455,CRGHH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CRGHH/1
Q106675456,CRGUL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CRGUL/1
Q106675457,CRNLO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CRNLO/1
Q106675458,CRSER/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CRSER/1
Q106675459,CSKEE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CSKEE/1
Q106675460,CSMO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CSMO/1
Q106675461,CSTGR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CSTGR/1
Q106675462,CURMO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CURMO/1
Q106675463,DEELI/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DEELI/1
Q106675466,DEGAS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DEGAS/1
Q106675467,DENAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DENAN/1
Q106675468,DERIV/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DERIV/1
Q106675469,DINGL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DINGL/1
Q106675471,DKEAR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DKEAR/1
Q106675472,DNARD/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DNARD/1
Q106675473,DNBUL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DNBUL/1
