"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"
"280. Drumlohan IX (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"BROINIONAS"|"280. Drumlohan IX"
"281. Drumlohan X (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"DEAGOS MAQI MUCOI NAI"|"281. Drumlohan X"
"285. Kilbeg (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396852"|"Q184594"|"BIVODON MUCOI ATAR"|"285. Kilbeg"
"292. Knockboy I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"ERATI MUCOI NETA-S/EGAMONAS"|"292. Knockboy I"
"293. Knockboy II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"RGBCARCEN"|"293. Knockboy II"
"294. Knockboy III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"CORB"|"294. Knockboy III"
"295. Knockboy IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"QECCIAS MUCOI BROENIONAS"|"295. Knockboy IV"
"296. Knockboy V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"CIR MAQI MUC"|"296. Knockboy V"
"297. Knockboy VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"VORTIGURN"|"297. Knockboy VI"
"298. Knockboy VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"VEDABAR MAQILSM/ MOCOI ODR/REA"|"298. Knockboy VII"
"299. Knockboy VIII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396914"|"Q184594"|"MAQI MONGEDIAS/ MAQI/ MUIBITI"|"299. Knockboy VIII"
"300. Island (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396859"|"Q184594"|"CUNANETAS MAQ/I MMUC/OI NETA-SEGAMONAS"|"300. Island"
"31. Fiddaun Upper (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391658"|"Q180231"|"DRUGNO MAQI/ MUCOI NAMI"|"31. Fiddaun Upper"
"32. Gowran (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391704"|"Q180231"|"MAQI ERACIAS MAQI/ DIMAQA MUCOI"|"32. Gowran"
"34. Legan (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391706"|"Q180231"|"LOBBI KOI MAQQI MUC/COI R/INI"|"34. Legan"
"35. Tullaherin I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391735"|"Q180231"|"VIR"|"35. Tullaherin I"
"36. Lamoge I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391666"|"Q180231"|"SEVERRIT/ MAQI/ ROTTAIS"|"36. Lamoge I"
"37. Lamoge II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391666"|"Q180231"|"DOVATUC/QI AV/I/ TULOTANAGIA"|"37. Lamoge II"
"38. Ballyboodan (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69378747"|"Q180231"|"CORBI KOI MAQI LABRID"|"38. Ballyboodan"
"4. Kilmannin (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q72006009"|"Q178626"|"LUGADDON MAQ/I LUGU/DEC DDISI/ MOCQUS/EL"|"4. Kilmannin"
"40. Painestown (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391671"|"Q183544"|"MAQI-CAIRATINI AVI INEQAGLAS"|"40. Painestown"
"46. Houseland (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391680"|"Q184599"|"SEDANI MAQI CATTABBOTT AVVI DERCMASOC"|"46. Houseland"
"47. Castletimon (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391708"|"Q182591"|"NETACARI NETACAGI"|"47. Castletimon"
