Stone|Inscription|Transcription|Width|Height|Depth
189._Kinard East II|ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏ  ᚏᚓᚐᚇᚔᚅᚌ  ᚈᚑᚇᚑᚅ            ᚄᚐᚅᚌᚈᚔ  ᚂᚂᚑᚈᚓᚈᚔ  ᚐᚃᚔ    ᚄᚏᚒᚄᚐ  ᚋᚉᚋᚐᚅᚒᚄ  ᚏᚓᚐᚇᚔᚅᚌ  ᚒᚈᚑ      ᚐ  ᚉᚒᚏᚉᚔᚈᚔ  ᚃᚓᚃᚑᚇᚇᚔᚒᚌᚐᚉ |Macalister reading top-down (1945, 182): SANGTI LLOTETI AVI SRUSA McManus' reading up-top (1986, 21): A CURCITI VEVODDIUGWAC|0.52|1.80|0.16
19._Colbinstown I|    ᚑᚌᚆᚐᚋ  ᚑᚃᚐᚅᚑᚄ  ᚐᚃᚔ  ᚔᚃᚐᚉᚐᚈᚈᚑᚄ    ᚏᚑᚋᚐᚅ  ᚔᚃᚃᚓᚅᚏᚓ  ᚇᚏᚃᚃᚔᚇᚓᚄ |Ogham: OVANOS AVI I/VACA/TTOS Roman: IVVEn/rE DRVVIDES|0.28|1.57|0.28
190._Lugnagappul I|  ᚌᚑᚄᚄᚒᚉᚈᚈᚔᚐᚄ |GOSSUCTTIAS|0.41|0.91|0.30
191._Lugnagappul II|  ᚌᚐᚋᚔᚉᚒᚅᚐᚄ |GAMICUNAS|0.37|0.91|0.19
192._Martramane|    ᚊᚓᚅᚔᚂᚑᚉᚐᚌᚅᚔ  ᚋᚐᚊᚔ  ᚇ |QENILOCAGNI MAQI D...|0.30|1.15|0.18
193._Maumanorig|  ᚐᚅᚋ  ᚉᚑᚂᚑᚂᚈᚆᚋᚐᚅ  ᚐᚂᚔᚈᚆᚔᚏ |ANM COL(OLTH)MAN ALITHIR|1.58|1.15|0.54
195._Rathmalode I|    ᚉᚒᚏᚉᚔ  ᚋᚐᚊᚔ  ᚋᚒᚉᚑᚔ  ᚃᚑ |CURCI MAQI MUCOI VO|0.28|1.04|0.10
196._Rathmalode II|    ᚓᚏᚉᚐᚃᚔᚉᚉᚐᚄ  ᚋᚐᚊᚔ  ᚉᚑ |ERCAVICCAS MAQI CO|0.33|1.24|0.09
197._Coolmagort I|    ᚇᚓᚌᚑᚄ    ᚋᚐᚊᚔ  ᚋᚑᚉᚑᚔ    ᚈᚑᚔᚉᚐᚕᚔ   |DEGO{S} MAQI MOCOI TOICAKI|0.52|2.10|0.20
198._Coolmagort II|    ᚋᚐᚊᚔᚏᚔᚈᚓᚐᚄ    ᚋᚐᚊᚔ  ᚋᚐᚊᚔᚇᚇᚒᚋᚔᚂᚓᚐᚄ  ᚋᚒᚉᚑᚔ    ᚈᚑᚔᚉᚐᚉᚔ   |MAQI-RITEAS MAQI MAQI-DDUMILEAS/ MUCOI TOICACI|0.48|2.65|0.20
199._Coolmagort III|    ᚉᚒᚅᚐᚉᚓᚅᚐ     |CUNACENA|0.30|1.20|0.11
20._Colbinstown II|  ᚋᚐᚉᚐᚂᚔᚄᚈᚓᚏ  ᚃᚏᚑᚋ  ᚉᚐᚄᚈ      ᚋᚐᚊᚔᚇᚇᚓᚉᚉᚓᚇᚐ    ᚋᚐᚊᚔ    ᚋᚐᚏᚔᚅ   |Macalister (from cast) MAQI-DDECCEDA MAQI MARIN|||
